OPTIONS_AUDIO,Audio Settings,Réglages audio,Impostazioni audio,オーディオせってい,오디오 설정,Ajustes de audio,Ajustes de audio,Configurações de áudio,Ustawienia audio,Audioeinstellungen,Звук,Аудіо,音频设置,
OPTIONS_CONTROLS,Controls,Commandes,Controlli,そうさ,조작,Controles,Controles,Controles,Sterowanie,Steuerung,Управление,Керування,控制,
OPTIONS_ON,On,Oui,Sì,オン,On,Sí,Sí,Ligado,Wł.,An,Вкл.,Увімк.,开启,
OPTIONS_OFF,Off,Non,No,オフ,Off,No,No,Desligado,Wył.,Aus,Выкл.,Вимк.,关闭,
KEYBOARD_ESCAPE,Esc,Échap,Esc,ESC,Esc,Esc,Esc,Esc,Esc,Esc,Esc,Esc,Esc,
KEYBOARD_TAB,Tab,Tab,Tab,TAB,Tab,Tab,Tab,Tab,Tab,Tab,Tab,Tab,Tab,
KEYBOARD_BACKSPACE,BKSP,Retour,Backsp.,BACK,Backsp,Retroc.,Retroc.,Apagar,Backsp.,Rück,Backsp.,Backsp.,BKSP,
KEYBOARD_ENTER,Enter,Entrée,Enter,ENTER,Enter,Enter,Enter,Enter,Enter,Enter,Enter,Enter,Enter,
KEYBOARD_INSERT,Insert,Inser,Insert,INSERT,Insert,Insert,Insert,Insert,Insert,Einfg,Insert,Insert,Insert,
KEYBOARD_DELETE,Del,Suppr,Canc,DEL,Del,Supr,Supr,Delete,Del,Entf,Delete,Delete,Delete,
KEYBOARD_PAUSE,Pause,Pause,Pausa,PAUSE,Pause,Pausa,Pausa,Pause,Pauza,Pause,Pause,Pause,Pause,
KEYBOARD_HOME,Home,Orig,Home,HOME,Home,Inicio,Inicio,Home,Home,Home,Home,Home,Home,
KEYBOARD_END,End,Fin,Fine,END,End,Fin,Fin,End,End,Ende,End,End,End,
KEYBOARD_PAGEUP,PgUp,Préc,PagSu,PGUP,PgUp,Subir,Subir,PgUp,PgUp,PgUp,PgUp,PgUp,PgUp,
KEYBOARD_PAGEDOWN,PgDn,Suiv,PagGiù,PGDN,PgDn,Bajar,Bajar,PgDn,PgDn,PgDn,PgDn,PgDn,PgUp,
KEYBOARD_SHIFT,Shift,Maj,Shift,SHIFT,Shift,Shift,Mayús,Shift,Shift,Shift,Shift,Shift,Shift,
KEYBOARD_CONTROL,Ctrl,Ctrl,Ctrl,CTRL,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Strg,Ctrl,Ctrl,Ctrl,
KEYBOARD_META,Meta,Méta,Meta,META,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,
KEYBOARD_COMMAND,Cmd,Cmd,Cmd,CMD,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,
KEYBOARD_ALT,Alt,Alt,Alt,ALT,Alt,Alt,Alt,Alt,Alt,Alt,Alt,Alt,Alt,
KEYBOARD_SUPER_L,Super L,Super G,Super Sx,スーパーL,Super L,Súper I,Súper I,Super E,Super L,Super L,Super L,Super L,超级L键,
KEYBOARD_SUPER_R,Super R,Super D,Super Dx,スーパーR,Super R,Súper D,Súper D,Super D,Super R,Super R,Super R,Super R,超级R键,
KEYBOARD_MENU,Menu,Menu,Menu,MENU,Menu,Menú,Menú,Menu,Menu,Menü,Menu,Меню,Menu,
KEYBOARD_SPACE,Space,Espace,Spazio,SPACE,Space,Espacio,Espacio,Espaço,Spacja,Leer,Пробел,Пробіл,Space,
CONTROLS_HEADER_MOVEMENT,Movement,Déplacement,Movimento,いどう,이동,Movimiento,Movimiento,Movimento,Poruszanie,Bewegung,Движение,Рух,移动,
CONTROLS_UP,Up,Haut,Su,うえ,위,Arriba,Arriba,Cima,Góra,Hoch,Вверх,Вгору,上,
CONTROLS_DOWN,Down,Bas,Giù,した,아래,Abajo,Abajo,Baixo,Dół,Runter,Вниз,Вниз,下,
CONTROLS_LEFT,Left,Gauche,Sinistra,ひだり,좌,Izquierda,Izquierda,Esquerda,Lewo,Links,Влево,Вліво,左,
CONTROLS_RIGHT,Right,Droite,Destra,みぎ,우,Derecha,Derecha,Direita,Prawo,Rechts,Вправо,Вправо,右,
CONTROLS_HEADER_ACTIONS,Actions,Actions,Azioni,アクション,액션,Acciones,Acciones,Ações,Akcje,Aktionen,Действия,Дії,操作,
CONTROLS_INTERACT,Interact/Accept,Interagir/Accepter,Interagisci/Accetta,かいわ・けってい,상호작용,Interactuar/Aceptar,Interactuar/Aceptar,Interagir/Aceitar,Interakcja/Zaakceptuj,Interagieren/Akzeptieren,Взаимодействие/выбор,Взаємодіяти/Обрати,互动/确定,
CONTROLS_SKILL,Skill/Cancel,Talent/Annuler,Abilità/Annulla,スキル・キャンセル,스킬/취소,Habilidad/Cancelar,Habilidad/Cancelar,Habilidade/Cancelar,Umiejętność/Anuluj,Fähigkeit/Abbrechen,Навык/отмена,Навички/Скасувати,技能/取消,
CONTROLS_RUN,Crouch/Run,S'accroupir/Courir,Accovacciati/Corri,しゃがむ・ダッシュ,웅크리기/달리기,Agacharse/Correr,Agacharse/Correr,Agachar/Correr,Kucnij/Biegnij,Hocke/Rennen,Присесть/бежать,Присісти/Бігти,蹲伏/奔跑,
CONTROLS_SCOPE,Scope/Description,Scruter/Description,Esamina/Descrizione,みわたす・しょうさい,전망/설명,Mirar/Descripción,Explorar/Descripción,Analisar/Descrição,Zbadaj/Opis,Spähen/Beschreibung,Разведка/описание,Розвідка/Опис,范围/描述,
CONTROLS_PREV,Previous,Précédent,Indietro,まえ,이전,Anterior,Anterior,Anterior,Poprzednie,Zurück,Назад,Назад,上一个,
CONTROLS_NEXT,Next,Suivant,Avanti,つぎ,다음,Siguiente,Siguiente,Próximo,Następne,Weiter,Вперёд,Вперед,下一个,
CONTROLS_MENU,Menu,Menu,Menu,メニュー,메뉴,Menú,Menú,Menu,Menu,Menü,Меню,Меню,主菜单,
CONTROLS_MAP,Map,Carte,Mappa,マップ,지도,Mapa,Mapa,Mapa,Mapa,Karte,Карта,Мапа,地图,
CONTROLS_HEADER_MISC,Others,Divers,Altro,そのた,기타,Otros,Otros,Outros,Inne,Anderes,Отображение,Інше,其他,
CONTROLS_FULLSCREEN,Fullscreen,Plein écran,Schermo intero,フルスクリーン,전체화면,Pantalla completa,Pantalla completa,Tela cheia,Pełny ekran,Vollbild/Fenster,Полноэкранный режим,Повноекранний режим,全屏,
CONTROLS_WINDOW_SIZE,Window Size,Taille de la fenêtre,Risoluzione,ウィンドウサイズ,창 모드,Tamaño de ventana,Tamaño de ventana,Ajustar janela,Rozmiar okna,Fenstergröße,Размер окна,Розмір вікна,窗口大小,
CONTROLS_RUMBLE,Rumble,Vibrations,Vibrazione,しんどう,진동,Vibración,Vibración,Vibração,Wibracje,,Вибрация,Вібрація,震动,
CONTROLS_BUTTON_STYLE,Button Naming,Nom des boutons,Nome dei pulsanti,ボタンレイアウト,버튼 설정,Nombre de los botones,Nombre de los botones,Nome dos botões,Nazwy przycisków,Knopf-Layout,Раскладка контроллера,Назви кнопок,按键样式,
CONTROLS_BUTTON_STYLE_NINTENDO,Nintendo Style,Façon Nintendo,Stile Nintendo,NINTENDO,NINTENDO,Estilo Nintendo,Estilo Nintendo,Estilo Nintendo,Styl Nintendo,Nintendo,Nintendo,Nintendo,任天堂,
CONTROLS_BUTTON_STYLE_PLAYSTATION,PlayStation Style,Façon PlayStation,Stile PlayStation,PS,PS,Estilo PlayStation,Estilo PlayStation,Estilo PlayStation,Styl PlayStation,PlayStation,PlayStation,PlayStation,PlayStation,
CONTROLS_BUTTON_STYLE_XBOX,Xbox Style,Façon Xbox,Stile Xbox,XBOX,XBOX,Estilo Xbox,Estilo Xbox,Estilo Xbox,Styl Xbox,Xbox,Xbox,Xbox,Xbox,
CONTROLS_BUTTON_STYLE_DETECT,Auto Detect,Automatique,Rileva in automatico,じどうけんち,자동 감지,Auto,Automático,Detectar automaticamente,Autowykrywanie,Automatisch,Автоопределение,Автовизначення,自动检测,
CONTROLS_DEFAULT,Reset to Defaults,Retour à la configuration d'origine,Ripristina default,デフォルトにもどす,초기화,Restablecer configuración,Restablecer configuración,Redefinir,Przywróć ustawienia domyślne,Auf Standard zurücksetzen,По умолчанию,За замовчуванням,重置为默认设置,
CONTROLS_DEFAULT_CONFIRM,Reset to default controls?,Voulez-vous revenir aux réglages d'origine ?,Ritorni ai controlli di default?,デフォルトにもどしますか？,초기화하시겠습니까?,¿Deseas volver a la configuración original?,¿Quieres restablecer los controles por defecto?,Redefinir para os comandos padrão?,Przywrócić domyślne ustawienia sterowania?,Auf Standardbelegung zurücksetzen?,Сбросить настройки управления?,Скинути до налаштувань за замовчуванням?,确定要恢复默认按键设置吗？,
CONTROLS_PRESS_KEY,Press any key to rebind.,Veuillez appuyer sur la touche de votre choix.,Premi un tasto per associare.,キーをおして　わりあてる。,키를 지정하십시오.,Pulsa cualquier tecla para reenlazar.,Pulsa cualquier tecla para reasignar.,Pressione qualquer tecla para definir.,"Naciśnij dowolny klawisz, aby go przypisać.",Drücke eine Taste zum Umbinden.,"Нажмите любую клавишу, чтобы переназначить.","Натисніть будь-яку клавішу, щоб переназначити.",按下任意按键以重新绑定键位。,
CONTROLS_PRESS_BUTTON,Press any button to rebind.,Veuillez appuyez sur le bouton de votre choix.,Premi un pulsante per associare.,ボタンをおして　わりあてる。,버튼을 지정하십시오.,Pulsa cualquier botón para reenlazar.,Pulsa cualquier botón para reasignar.,Pressione qualquer botão para definir.,"Naciśnij dowolny przycisk, aby go przypisać.",Drücke einen Knopf zum Umbinden.,"Нажмите любую кнопку, чтобы переназначить.","Натисніть будь-яку кнопку, щоб переназначити.",按下任意按钮以重新绑定键位。,
CONTROLS_PRESS_DUPLICATE_KEY,This key is already assigned to another action.,Cette touche est déjà assignée à une autre action.,Questo tasto è già associato a un'altra azione.,キーが　べつのアクションに　わりあてられている。,이 키는 이미 사용되고 있습니다.,Esta tecla ya está asignada a otra acción.,Esta tecla ya está asignada a otra acción.,Esta tecla já está sendo usada em outra ação.,Ten klawisz jest już przypisany do innej akcji.,Die Taste ist bereits zugewiesen.,Эта клавиша уже выполняет другую функцию.,Ця клавіша вже виконує іншу дію.,该按键已经被分配给其他操作了。,
CONTROLS_PRESS_DUPLICATE_BUTTON,This button is already assigned to another action.,Ce bouton est déjà assigné à une autre action.,Questo pulsante è già associato a un'altra azione.,ボタンが　べつのアクションに　わりあてられている。,이 버튼은 이미 사용되고 있습니다.,Este botón ya está asignado a otra acción.,Este botón ya está asignado a otra acción.,Este botão já está sendo usado em outra ação.,Ten przycisk jest już przypisany do innej akcji.,Der Knopf ist bereits zugewiesen.,Эта кнопка уже выполняет другую функцию.,Ця кнопка вже виконує іншу дію.,该按钮已经被分配给其他操作了。,
AILMENT_ASTHMA,Asthma,en pleine crise d'asthme,In crisi d'asma,ぜんそく,천식,asma,asma,Asma,Astma,,астма,астма,哮喘,
AILMENT_BLINDED,Blinded,aveuglé{t6},Accecat{t6},もうもく,시야 방해,ceguera,ceguera,Cegueira,Oślepienie,Blind,слепота,осліплення,失明,
AILMENT_BURNED,Burned,brûlé{t6},Bruciat{t6},やけど,화상,quemad{t6},quemad{t6},Queimad{t4},Podpalenie,Verbrannt,горение,опік,灼烧,
AILMENT_COLD,Cold,enrhumé{t6},Raffreddat{t6},かぜ,감기,resfriad{t6},resfriad{t6},Resfriado,Przeziębienie,Erkältet,простуда,застуда,感冒,
AILMENT_CONFUSED,Confused,confus{t6},Confus{t6},こんらん,혼란,confusión,confus{t6},Confus{t4},Dezorientacja,Verwirrt,дезориентация,дезорієнтація,混乱,
AILMENT_FORGETFUL,Forgetful,oublieu{t8},Smemorat{t6},どわすれ,망각,olvido,olvido,Esquecid{t4},Zapomnienie,Vergesslich,забывчивость,забудькуватість,健忘,
AILMENT_NAUSEA,Nausea,nauséeu{t8},Nauseat{t6},どんより,구역질,náusea,náuseas,Enjoad{t4},Mdłości,Schwindel,тошнота,нудота,恶心,
AILMENT_NUMB,Numb,engourdi{t6},Intorpidit{t6},しびれ,마비,entumecid{t6},entumecid{t6},Dormente,Odrętwienie,Betäubt,паралич,параліч,麻痹,
AILMENT_POISONED,Poisoned,empoisonné{t6},Avvelenat{t6},どく,독,envenenad{t6},envenenad{t6},Envenenad{t4},Zatrucie,Vergiftet,отравление,отруєння,中毒,
AILMENT_SLEEPING,Sleeping,endormi{t6},Addormentat{t6},ねむり,수면,somnolencia,dormid{t6},Dormindo,Senność,Schläft,сон,сон,昏睡,
AILMENT_STONE,Stone,pétrifié{t6},Pietrificat{t6},いし,석화,petrificad{t6},petrificad{t6},Petrificad{t4},Skamienienie,Versteinert,окаменение,скам'янення,石化,
AILMENT_SUNSTROKED,Sunstroked,frappé{t6} d'insolation,Insolazione,にっしゃびょう,일사병,insolad{t6},insolación,Insolação,Udar słoneczny,Sonnenstich,солнечный удар,сонячний удар,中暑,
AILMENT_MUSHROOMIZED,Mushroomized,champignonneu{t8},Funghizzat{t6},キノコ,버섯화,champiñonizad{t6},champiñonizad{t6},Cogumelizad{t4},Zagrzybienie,Verpilzt,грибофикация,грибофікація,蘑菇化,
AILMENT_UNCONSCIOUS,Unconscious,évanoui{t6},Priv{t6} di sensi,きぜつ,기절,Inconsciente,incapacitad{t6},Inconsciente,Nieprzytomn{t5},Bewusstlos,без сознания,Непритомн{t7},昏迷,
INLINE_STAT_OFFENSE,Offense,attaque,Attacco,オフェンス,오펜스,Ofensa,fuerza,Ataque,Ofensywa,Angriff,Атака,Атака,攻击力,
INLINE_STAT_DEFENSE,Defense,défense,Difesa,ディフェンス,디펜스,Defensa,defensa,Defesa,Obrona,Verteidigung,Защита,Захист,防御力,
INLINE_STAT_SPEED,Speed,vitesse,Velocità,スピード,스피드,Velocidad,velocidad,Agilidade,Szybkość,Geschwindigkeit,Скорость,Швидкість,速度,
INLINE_STAT_IQ,IQ,QI,QI,ＩＱ,IQ,IQ,CI,QI,IQ,IQ,IQ,IQ,智力,
INLINE_STAT_GUTS,Guts,audace,Combattività,ガッツ,용기,Coraje,agallas,Coragem,Odwaga,Mut,Дерзость,Сміливість,勇气,
INLINE_STAT_HP,HP,PV,PS,ＨＰ,HP,PV,PV,HP,HP,KP,ОЗ,ОЗ,HP,
INLINE_STAT_PP,PP,PP,PP,ＰＰ,PP,PP,PP,PP,PP,PP,ОП,ОП,PP,
INLINE_STAT_MAXHP,Max HP,maximum de PV,PS massimi,さいだいＨＰ,최대 HP,PV máximos,PV máximos,HP máximo,Maksymalne HP,Maximale KP,Максимальное количество ОЗ,Максимальна кількість ОЗ,最大HP,
INLINE_STAT_MAXPP,Max PP,maximum de PP,PP massimi,さいだいＰＰ,최대 PP,PP máximos,PP máximos,PP máximo,Maksymalne PP,Maximale PP,Максимальное количество ОП,Максимальна кількість ОП,最大PP,
INLINE_STAT_OFFENSE_ARTICLE,",","L',Son ,,t","L',o,,e,può",,"는,가,를,와","La ,,ó","La ,","O ,","a,a","Der ,","повысилась,понизилась","ла,я",，,
INLINE_STAT_DEFENSE_ARTICLE,",","La ,Sa ,,t","La ,a,,e,può",,"는,가,를,와","La ,,ó","La ,","A ,","a,a","Die ,","повысилась,понизилась","в,я",，,
INLINE_STAT_SPEED_ARTICLE,",","La ,Sa ,,t","La ,a,,e,può",,"는,가,를,와","La ,,ó","La ,","A ,","a,a","Die ,","повысилась,понизилась","ла,я",，,
INLINE_STAT_IQ_ARTICLE,",","Le ,Son ,,t","Il ,o,,e,può",,"는,가,를,와","El ,,ó","El ,","O ,","o,e",,"повысился,понизился","в,я",，,
INLINE_STAT_GUTS_ARTICLE,",","L',Son ,,t","La ,a,,e,può",,"는,가,를,와","El ,,ó","Las ,n,","A ,","a,a",,"повысилась,понизилась","ла,я",，,
INLINE_STAT_HP_ARTICLE,",","Les ,Ses ,nt,vent","I ,i,no,ono,possono",,"는,가,를,와","Los ,n,aron","Los ,n,","O ,","o,e",",n","повысились,понизились","ли,я",，,
INLINE_STAT_PP_ARTICLE,",","Les ,Ses ,nt,vent","I ,i,no,ono,possono",,"는,가,를,와","Los ,n,aron","Los ,n,","O ,","o,e",",n","повысились,понизились","ли,я",，,
INLINE_STAT_MAXHP_ARTICLE,"max HP,","Le ,Son ,,t","I ,i,no,ono,possono",",","는,가,를,와","Los ,n,aron","Los ,n,","O ,","o,e",",n","увеличилось,уменьшилось","ла,я",最大HP，,
INLINE_STAT_MAXPP_ARTICLE,"max PP,","Le ,Son ,,t","I ,i,no,ono,possono",",","는,가,를,와","Los ,n,aron","Los ,n,","O ,","o,e",",n","увеличилось,уменьшилось","ла,я",最大PP，,
ACTION_RESULT_HP_UP,{target} recovered {value} HP!,{target} récupère {value} PV ¦,{target} recupera {value} PS!,{target}の　ＨＰが　{value}かいふくした！,{target}{t0} HP를 {value}만큼 회복했다!,¡{target} recuperó {value} PV!,¡{target} ha recuperado {value} PV!,{target} recuperou {value} HP!,{target} odzyskał{t4} {value} HP!,{target} stellte {value} KP wieder her!,{target} восстановил{t6} {value} ОЗ!,{target} віднови{t6} {value} ОЗ!,{target}回复了{value}点HP！,
ACTION_RESULT_HP_MAX,{target}'s HP was maxed out!,Tous les PV {t4}{target} ont été récupérés ¦,{target} recupera tutti i PS!,{target}の　ＨＰがまんたんになった！,{target}의 HP가 가득 찼다!,¡Los PV {t4}{target} están al máximo!,¡Los PV {t4}{target} están al máximo!,O HP de {target} foi completamente recuperado!,HP {t1} zostało wypełnione!,KP von {target} sind voll!,{target} полностью восстановил{t6} здоровье!,ОЗ {t1} повністю відновлено!,{target}的HP回满了！,
ACTION_RESULT_PP_UP,{target} recovered {value} PP!,{target} récupère {value} PP ¦,{target} recupera {value} PP!,{target}の　ＰＰが　{value}かいふくした！,{target}{t0} PP를 {value}만큼 회복했다!,¡{target} recuperó {value} PP!,¡{target} ha recuperado {value} PP!,{target} recuperou {value} PP!,{target} odzyskał{t4} {value} PP!,{target} stellte {value} PP wieder her!,{target} восстановил{t6} {value} ОП!,{target} віднови{t6} {value} ОП!,{target}回复了{value}点PP！,
ACTION_RESULT_PP_MAX,{target}'s PP was maxed out!,Tous les PP {t4}{target} ont été récupérés ¦,{target} recupera tutti i PP!,{target}の　ＰＰがまんたんになった！,{target}의 PP가 가득 찼다!,¡Los PP {t4}{target} están al máximo!,¡Los PP {t4}{target} están al máximo!,O PP de {target} foi completamente recuperado!,PP {t1} zostało wypełnione!,PP von {target} sind voll!,{target} восстановил{t6} все ОП!,ОП {t1} повністю відновлено!,{target}的PP回满了！,
ACTION_RESULT_STAT_UP,{target}'s {stat} increased by {value}!,{st0}{stat} {t4}{target} augmente de {value} ¦,{st0}{stat} di {target} aumenta{st2} di {value}!,{target}の　{stat}が　{value}あがった！,{target}의 {stat}{st1} {value}만큼 증가했다!,¡{st0}{stat} de {target} aument{st2} en {value}!,¡{st0}{stat} de {target} ha{st1} aumentado en {value}!,{st0}{stat} de {target} aumentou em {value}!,{stat} {t1} został{st0} zwiększon{st1} o {value}!,{st0}{stat} {t7} {t12} erhöhte{st1} sich um {value}!,{stat} {t1} {st0} на {value} единиц{v1}!,{stat} {t1} підня{st0}ся на {value}!,{target}的{stat}提高了{value}点！,
ACTION_RESULT_HEAL_ASTHMA,{target}'s asthma attack went away!,La crise d'asthme {t4}{target} est passée ¦,L'attacco d'asma di {target} è passato!,{target}の　ぜんそくが　なおった！,{target}의 천식이 사라졌다!,¡{target} vuelve a respirar con normalidad!,¡{target} vuelve a respirar con normalidad!,A crise de asma de {target} passou!,Astma {t1} ustąpiła!,{t11} Asthmaanfall endete!,Приступ астмы {t1} прошёл!,Напад астми {t1} пройшов!,{target}停止哮喘了！,
ACTION_RESULT_HEAL_BLINDED,{target} could see again!,{target} recouvre la vue ¦,{target} ci vede di nuovo!,{target}のめは　スッキリした！,{target}{t0} 가려진 시야를 회복했다!,¡{target} pudo ver otra vez!,¡{target} puede ver de nuevo!,{target} voltou a enxergar!,{target} może znowu widzieć!,{target} konnte wieder sehen.,{target} снова видит!,{target} знову може бачити!,{target}的视觉恢复了！,
ACTION_RESULT_HEAL_BURNED,{target}'s burns went away!,Les brûlures disparaissent du corps {t4}{target} ¦,{target} non è più bruciat{t6}!,{target}の　ほのおがきえた！,{target}의 불길이 잦아들었다!,¡Las quemaduras {t4}{target} desaparecieron!,¡Las quemaduras {t4}{target} han desaparecido!,As chamas d{t4} {target} apagaram!,{t1} przestał{t4} się palić!,{t11} Verbrennung verschwand!,{target} больше не горит!,Опіки {t1} пройшли!,{target}的烧伤消退了！,
ACTION_RESULT_HEAL_COLD,{target}'s cold went away!,Le rhume {t4}{target} est passé ¦,{target} non ha più il raffreddore!,{target}の　カゼがなおった！,{target}{t0} 감기가 나았다!,¡El resfriado {t4}{target} desapareció!,¡El resfriado {t4}{target} ha desaparecido!,{target} melhorou do resfriado!,Przeziębienie {t1} zniknęło!,{t11} Erkältung verschwand!,{target} выздоровел{t6}!,{target} вилікува{t6}ся!,{target}的感冒痊愈了！,
ACTION_RESULT_HEAL_CONFUSED,{target} returned to {t4} senses!,{target} a retrouvé ses esprits ¦,{target} non è più confus{t6}!,{target}は　きぶんが　よくなった！,{target}{t0} 정신을 차렸다!,¡{target} ya no está confundid{t6}!,¡{target} ya no está confus{t6}!,{t0}{target} não está mais confus{t4},{target} nie jest już zdezorientowan{t5}!,{target} kam wieder zur Besinnung!,{target} больше не дезориентирован{t6}!,{target} більше не розгублен{t7}.,{target}恢复了理智！,
ACTION_RESULT_HEAL_FORGETFUL,{target} regained {t4} memory!,{target} a retrouvé la mémoire ¦,{target} ha riacquistato la memoria!,{target}は　とくぎを　おもいだした！,{target}{t0} 기억을 되찾았다!,¡{target} ha recuperado la memoria!,¡{target} ha recuperado la memoria!,{target} recuperou a memória!,{target} odzyskał{t4} swoją pamięć!,{target} kann sich wieder erinnern!,{target} всё вспомнил{t6}!,{target} все згада{t6}!,{target}回忆起了{t4}特技！,
ACTION_RESULT_HEAL_MUSHROOMIZED,The mushroom fell off {target}'s head!,Le champignon est tombé de la tête {t4}{target} ¦,{target} non ha più un fungo sulla testa!,キノコが{target}の　あたまから　はずれた！,{target}의 머리에서 버섯이 떨어졌다!,¡El champiñón se cayó de la cabeza de {target}!,¡El champiñón se ha caído de la cabeza de {target}!,O cogumelo caiu da cabeça d{t4} {target}!,Grzyb spadł {t2} z głowy!,Der Pilz fiel von {t11} Kopf!,Гриб с головы {t1} отвалился!,Гриб з голови {t1} відпав!,蘑菇从{target}的头上掉了下来！,
ACTION_RESULT_HEAL_NAUSEA,{target} is no longer nauseous!,{target} n'a plus la nausée ¦,{target} non ha più la nausea!,{target}の　わるいきぶんが　きえた！,{target}{t0} 속이 나아졌다!,¡{target} ya no siente náuseas!,¡{target} ya no siente náuseas!,{target} não está mais com náusea!,{target} nie ma już mdłości!,{target} ist nicht mehr übel!,{t3} больше не тошнит!,{t3} більше не нудить!,{target}不再恶心了！,
ACTION_RESULT_HEAL_NUMB,{target} was able to move again!,{target} peut de nouveau bouger ¦,{target} riesce di nuovo a muoversi!,{target}の　しびれがとれた！,{target}{t0} 마비가 풀렸다!,¡{target} pudo moverse de nuevo!,¡{target} puede moverse de nuevo!,{target} pode se mover de novo!,{target} odzyskał{t4} czucie!,"{target} war fähig, sich wieder zu bewegen!",{target} снова может двигаться!,{target} знову може рухатись!,{target}不再麻痹了！,
ACTION_RESULT_HEAL_POISONED,The poison was removed from {target}'s body!,Le poison a été éliminé du corps {t4}{target} ¦,{target} non è più avvelenat{t6}!,どくが　{target}の\nからだから　きれいさっぱりきえた！,{target}{t0} 독이 사라졌다!,¡El veneno fue eliminado del cuerpo de {target}!,¡El veneno ha sido eliminado del cuerpo de {target}!,O veneno foi removido do corpo de {target}!,Trucizna została usunięta z ciała {t1}!,Das Gift verschwand aus {t11} Körper.,{target} избавил{t8} от яда в организме!,{target} позбу{t6}ся отрути з організму!,{target}身上的毒素被清除了！,
ACTION_RESULT_HEAL_SLEEPING,{target} woke up!,{target} se réveille ¦,{target} si è svegliat{t6}!,{target}は　おきた！,{target}{t0} 잠에서 깨어났다!,¡{t0}{target} se despertó!,¡{target} se ha despertado!,{target} acordou!,{target} obudził{t4} się!,{target} wachte auf!,{target} проснул{t8}!,{target} прокину{t6}ся!,{target}醒来了！,
ACTION_RESULT_HEAL_STONE,{target} softened up!,{target} n'est plus pétrifié{t6} ¦,{target} non è più pietrificat{t6}!,{target}は　やわらかくなった！,{target}{t0} 다시 부드러워졌다!,¡{target} ya no está petrificad{t6}!,¡{target} ya no está petrificad{t6}!,{target} amoleceu!,{target} został{t4} zmiękczon{t5}!,{target} ist nicht mehr versteinert!,{target} — больше не камень!,{target} вже більше не камінь!,{target}软化了！,
ACTION_RESULT_HEAL_SUNSTROKED,{target} no longer has sunstroke!,L'insolation {t4}{target} est passée ¦,{target} non ha più un'insolazione!,{target}は　にっしゃびょうから　かいふくした！,{target}의 일사병이 치료됐다!,¡{target} ya no tiene insolación!,¡A {target} se le ha ido la insolación!,{target} não está mais com insolação!,{target} pozbył{t4} się udaru słonecznego!,{target} hat keinen Sonnenstich mehr!,{target} вылечил{t8} от солнечного удара!,{target} вилікува{t6}ся від сонячного удара!,{target}消暑了！,
ACTION_RESULT_HEAL_UNCONSCIOUS,{target} was revived!,{target} revient à la vie ¦,{target} è stato rianimat{t6}!,{target}を　カムバックさせた！！！,{target}{t0} 부활했다!,¡{target} fue revivid{t6}!,¡{target} ha sido revivid{t6}!,{target} foi reanimad{t4}!,{target} został{t4} wskrzeszon{t5}!,{target} wurde wiederbelebt!,{target} очнул{t8}!,{target} поверну{t6}ся до свідомості!,{target}复活了！,
ACTION_RESULT_HEAL_ASTHMA_FAIL,{target} does not have asthma.,{target} n'a pas d'asthme.,{target} non sta soffrendo d'asma.,{target}には　ぜんそくがない。,{target}{t0} 천식이 없다.,{target} no tiene asma.,{target} no tiene asma.,{target} não está com asma.,{target} nie ma astmy.,{target} hat keinen Asthmaanfall.,У {t1} нет приступа астмы.,У {t1} немає астматичного нападу.,{target}并未患有哮喘。,
ACTION_RESULT_HEAL_BLINDED_FAIL,{target} is not blinded.,{target} n'est pas aveuglé{t6}.,{target} ci vede bene.,{target}は　すでに　めがみえている！,{target}{t0} 시야가 잘 보인다.,{target} no tiene ceguera.,{target} no tiene ceguera.,{target} não está enxergando mal.,{target} nie jest oślepion{t5}.,{target} ist nicht blind.,{target} не ослепл{t7}.,{target} не осліплен{t7}.,{target}并没有失明。,
ACTION_RESULT_HEAL_BURNED_FAIL,{target} is not burning.,{target} n'est pas en train de brûler.,{target} non è bruciat{t6}.,,{target}{t0} 불에 타지 않았다.,{target} no se está quemando.,{target} no se está quemando.,{target} não está queimando.,{target} nie pali się.,{target} hat keine Verbrennung.,{target} не горит.,У {t1} немає опіків.,{target}并没有灼烧。,
ACTION_RESULT_HEAL_COLD_FAIL,{target} doesn't have a cold.,{target} n'est pas enrhumé{t6}.,{target} non è raffreddat{t6}.,{target}は　かぜをひいていない。,{target}{t0} 감기에 걸리지 않았다.,{target} no está resfriad{t6}.,{target} no está resfriad{t6}.,{target} não está resfriad{t4}.,{target} nie jest przeziębion{t5}.,{target} hat keine Erkältung.,{target} не простужен{t6}.,{target} не застуджен{t7}.,{target}并没有感冒。,
ACTION_RESULT_HEAL_CONFUSED_FAIL,{target} is not confused.,{target} a déjà les idées claires.,{target} non è confus{t6}.,{target}は　こんらんしていない。,{target}{t0} 혼란에 빠지지 않았다.,{target} no está confundid{t6}.,{target} no está confus{t6}.,{target} não está confus{t4}.,{target} nie jest zdezorientowan{t5}.,{target} ist nicht verwirrrt.,{target} не дезориентирован{t6}.,{target} не розгублен{t7}.,{target}并没有混乱。,
